企業名,URL,取得元ページ,本社住所,代表氏名,資本金,設立年月
ニッスイ,https://www.nissui.co.jp/,https://www.nissui.co.jp/corporate/index.html,東京都港区西新橋1-3-1 西新橋スクエア,代表取締役 社長執行役員 田中輝,"30,685百万円",明治44年（1911年）
Ｕｍｉｏｓ,https://www.umios.com/,https://www.umios.com/jp/corporate/outline/data/,〒108-8620 東京都港区高輪二丁目21番2号 THE LINKPILLAR 1 SOUTH,代表取締役社長執行役員 最高執行責任者 安田 大助,200億円,1943年3月31日
ユキグニファクトリー,https://www.yukiguni-factory.co.jp/,https://www.yukiguni-factory.co.jp/company/gaiyou/,新潟本社 〒949-6695 新潟県南魚沼市余川89番地,代表取締役社長 湯澤 尚史,100百万円,1983年7月
サカタのタネ,https://www.sakataseed.co.jp/,https://corporate.sakataseed.co.jp/company/profile.html,〒224-0041 神奈川県横浜市都筑区仲町台二丁目7番1号,代表取締役会長 坂田 宏 代表取締役社長 加々美 勉,135億円,1913年7月（坂田農園）
ホクト,https://www.hokto-kinoko.co.jp/,https://www.hokto-kinoko.co.jp/corporate/kigyou/gaiyou/,〒 381-8533 長野県長野市南堀138-1,代表取締役社長 水野雅義,55億円,昭和39年（1964年）
ショーボンドホールディングス,https://www.sho-bondhd.jp/,https://www.sho-bondhd.jp/company/profile/,〒103-0015 東京都中央区日本橋箱崎町7番8号,岸本 達也,50億円,2008年1月4日
ミライト・ワン,https://www.mirait-one.com/,https://www.mirait-one.com/corporate/profile/,〒105-0001 東京都港区虎ノ門2-2-3,代表取締役社長 菅原 英宗,70億円,2010年10月1日
タマホーム,https://www.tamahome.jp/,https://www.tamahome.jp/company/profile/,〒108-0074 東京都港区高輪3丁目22番9号 タマホーム本社ビル,代表取締役会長 玉木 康裕 代表取締役社長 玉木 伸弥,"43億1,014万円 （2025年5月31日 現在）",1998年6月3日
極洋,https://www.kyokuyo.co.jp/,https://www.kyokuyo.co.jp/company/data/profile/,東京都港区赤坂三丁目3番5号,代表取締役社長 井上 誠,75億2700万円,1937年9月3日
日本アクア,https://www.n-aqua.jp/,https://www.n-aqua.jp/company/info.html,〒108-0075 東京都港区港南2-16-2 太陽生命品川ビル20F,中村 文隆,19億3百万円（2025年12月31日現在）,2004年11月29日
